Number_Dead,Migration_Route,Danger_Level_of_MigrationRoute
3,Western Mediterranean,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
1,Western African,More Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Western African,More Dangerous
1,Western Balkans,More Dangerous
1,Western Mediterranean,Most Dangerous
4,Central Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
2,Central Mediterranean,Most Dangerous
2,Western African,More Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
2,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
3,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
0,Central Mediterranean,Most Dangerous
12,Eastern Mediterranean,Most Dangerous
11,Eastern Mediterranean,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Western African,More Dangerous
0,Western Mediterranean,Most Dangerous
0,Western Mediterranean,Most Dangerous
4,Eastern Mediterranean,Most Dangerous
1,Western African,More Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
8,Eastern Mediterranean,Most Dangerous
1,Western Balkans,More Dangerous
1,Western Balkans,More Dangerous
3,Western Balkans,More Dangerous
2,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central Mediterranean,Most Dangerous
0,Central Mediterranean,Most Dangerous
0,Western African,More Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
2,Western Balkans,More Dangerous
84,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
4,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
7,Western Mediterranean,Most Dangerous
1,Central Mediterranean,Most Dangerous
0,Western Mediterranean,Most Dangerous
2,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
70,Western African,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
0,Central Mediterranean,Most Dangerous
2,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
4,Western Mediterranean,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
5,Central Mediterranean,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
6,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Western Balkans,More Dangerous
1,Western Mediterranean,Most Dangerous
1,Horn Africa to Yemen,More Dangerous
9,Western African,More Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central Mediterranean,Most Dangerous
2,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
2,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
4,Western African,More Dangerous
1,Eastern Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Eastern Mediterranean,Most Dangerous
2,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
2,Western African,More Dangerous
1,Western Balkans,More Dangerous
25,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
18,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
7,Eastern Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Central Mediterranean,Most Dangerous
0,Central Mediterranean,Most Dangerous
9,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
3,Western Mediterranean,Most Dangerous
3,Central Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Italy to France,Slightly Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central Mediterranean,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western African,More Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
11,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Calais to United Kingdom,More Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
3,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Western Balkans,More Dangerous
2,Central America to US,Most Dangerous
0,Horn Africa to Yemen,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
75,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
0,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
2,Central America to US,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
83,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western African,More Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
6,Western African,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
4,Central America to US,Most Dangerous
4,Western African,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
12,Eastern Mediterranean,Most Dangerous
1,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
3,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Western Balkans,More Dangerous
7,Eastern Mediterranean,Most Dangerous
3,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
3,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
6,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
3,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
0,Western Mediterranean,Most Dangerous
3,Western Balkans,More Dangerous
0,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Calais to United Kingdom,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Western African,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
4,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
3,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
2,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western African,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
9,Eastern Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
0,Western Mediterranean,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
0,Central America to US,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
2,Eastern Mediterranean,Most Dangerous
2,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
0,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
4,Eastern Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
2,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
5,Central Mediterranean,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
3,Western Mediterranean,Most Dangerous
0,Western African,More Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
1,Western Balkans,More Dangerous
1,Central Mediterranean,Most Dangerous
1,Western Balkans,More Dangerous
1,Calais to United Kingdom,More Dangerous
0,Central Mediterranean,Most Dangerous
3,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
2,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central Mediterranean,Most Dangerous
2,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
3,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
0,Central America to US,Most Dangerous
0,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
0,Western Mediterranean,Most Dangerous
2,Western Mediterranean,Most Dangerous
1,Western Balkans,More Dangerous
1,Italy to France,Slightly Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
52,Horn Africa to Yemen,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
3,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
2,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
0,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
0,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central Mediterranean,Most Dangerous
5,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
5,Central Mediterranean,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
2,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
2,Central Mediterranean,Most Dangerous
3,Central Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
6,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
0,Eastern Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
4,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
0,Western Mediterranean,Most Dangerous
0,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
12,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
8,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
8,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
12,Central Mediterranean,Most Dangerous
3,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Central Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
3,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
3,Western Mediterranean,Most Dangerous
0,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
0,Western Mediterranean,Most Dangerous
20,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Mediterranean,Most Dangerous
1,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
2,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Eastern Mediterranean,Most Dangerous
2,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
0,Western African,More Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
4,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Western Balkans,More Dangerous
1,Central America to US,Most Dangerous
6,Eastern Mediterranean,Most Dangerous
1,Western Balkans,More Dangerous
1,Western Balkans,More Dangerous
1,Western Balkans,More Dangerous
2,Western Mediterranean,Most Dangerous
1,Western Mediterranean,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
0,Central Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
23,Western Mediterranean,Most Dangerous
13,Western Mediterranean,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
1,Central America to US,Most Dangerous
