Region_of_Incident,Cause_of_Death,CausesOfDeathPerRegion
Southeast Asia,Vehicle Accident,"Vehicle Accident,Drowning,Killed by landmine blast,Sickness and lack of access to medicines,Starvation,Dehydration,Excessive Physical Abuse,Sexual abuse,Harsh weather/lack of adequate shelter,Suffocation,Fall,Exhaustion,Violence,Shot"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Accident (fell down while climbing border wall),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Europe,Presumed drowning,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
US-Mexico Border,Presumed drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Europe,Shot,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Europe,Shot,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
US-Mexico Border,Presumed drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
